epoch	loss	acc	val_loss	val_acc
0	27.03335189819336	0.13312500715255737	24.719135284423828	0.1447557508945465
1	22.481063842773438	0.17781250178813934	20.596290588378906	0.06501436978578568
2	18.426166534423828	0.34671875834465027	16.82337760925293	0.417385071516037
3	14.799721717834473	0.6015625	14.6427001953125	0.46875
4	12.869070053100586	0.7846875190734863	14.222102165222168	0.5599856376647949
5	12.459369659423828	0.8550000190734863	14.072697639465332	0.5951867699623108
6	12.147911071777344	0.8851562738418579	13.95849609375	0.6602011322975159
7	11.866559982299805	0.9103124737739563	13.620344161987305	0.6871408224105835
8	11.70010757446289	0.9176562428474426	13.79992389678955	0.672773003578186
9	11.652210235595703	0.9350000023841858	13.625863075256348	0.7076149582862854
10	11.627662658691406	0.932812511920929	13.706122398376465	0.6993534564971924
11	11.596037864685059	0.9350000023841858	13.738195419311523	0.7036637663841248
12	11.588028907775879	0.93359375	13.76625919342041	0.6982758641242981
13	11.578261375427246	0.9381250143051147	13.720129013061523	0.7076149582862854
14	11.569646835327148	0.9412500262260437	13.838179588317871	0.6914511322975159
15	11.577805519104004	0.9365624785423279	13.728428840637207	0.7058189511299133
16	11.569587707519531	0.9392187595367432	13.766780853271484	0.702226996421814
17	11.569753646850586	0.9387500286102295	13.752206802368164	0.7000718116760254
18	11.567821502685547	0.9376562237739563	13.801806449890137	0.6971982717514038
19	11.556984901428223	0.9428125023841858	13.776727676391602	0.6993534564971924
20	11.568133354187012	0.9381250143051147	13.793432235717773	0.6982758641242981
21	11.552931785583496	0.9378125071525574	13.775167465209961	0.6997126340866089
22	11.545490264892578	0.9417187571525574	13.781914710998535	0.6925287246704102
23	11.552495956420898	0.9415624737739563	13.778728485107422	0.6993534564971924
24	11.555929183959961	0.936718761920929	13.755377769470215	0.6975574493408203
